month,district,avg_temp_c,avg_humidity,avg_rain_mm,dry_days,rainy_days,notes
1,Bhadradri Kothagudem,24.1,68,12.5,26,5,Cool and dry - good for harvesting sugarcane
2,Bhadradri Kothagudem,26.8,62,8.2,24,4,Warming up - suitable for land preparation
3,Bhadradri Kothagudem,31.2,55,14.6,22,9,Hot and dry - irrigation critical
4,Bhadradri Kothagudem,36.4,48,22.1,20,10,Pre-monsoon heat - limit midday operations
5,Bhadradri Kothagudem,38.9,52,41.3,18,13,Pre-monsoon showers begin
6,Bhadradri Kothagudem,33.1,78,148.7,10,20,Southwest monsoon onset - high tractor demand
7,Bhadradri Kothagudem,29.8,85,212.4,6,25,Peak monsoon - flooding risk in low areas
8,Bhadradri Kothagudem,29.2,88,198.6,7,24,Heavy rain continues - delay field ops when raining
9,Bhadradri Kothagudem,29.6,84,162.3,9,21,Monsoon retreating - rice harvest prep begins
10,Bhadradri Kothagudem,27.4,74,64.8,18,13,Post-monsoon - peak rice harvest season
11,Bhadradri Kothagudem,24.8,65,18.4,24,6,Cool and clear - ideal for all operations
12,Bhadradri Kothagudem,22.3,66,10.2,27,4,Winter - wheat sowing season
1,Warangal,23.8,65,10.8,27,4,Cool dry weather - good for harvesting
2,Warangal,26.2,60,7.4,25,3,Ideal land prep weather
3,Warangal,31.8,52,13.2,23,8,Hot - irrigate regularly
4,Warangal,37.1,46,19.8,21,9,Extreme heat - early morning ops only
5,Warangal,39.4,50,38.6,19,12,Pre-monsoon thunder showers
6,Warangal,32.6,76,142.3,11,19,Monsoon arrives - rice sowing
7,Warangal,29.4,83,204.7,7,24,Peak rain - check soil moisture
8,Warangal,28.9,86,191.2,8,23,Heavy rain - postpone spraying
9,Warangal,29.2,81,158.6,10,20,Retreating monsoon
10,Warangal,27.1,72,58.4,19,12,Harvest season begins
11,Warangal,24.3,62,15.8,25,5,Best weather for operations
12,Warangal,21.9,64,8.6,28,3,Cold mornings - start ops after 8 AM
1,Khammam,24.4,70,13.2,26,5,Dry cool - good for sugarcane harvest
2,Khammam,27.1,64,9.1,24,4,Warming - good prep weather
3,Khammam,32.1,56,15.4,22,9,Irrigation critical
4,Khammam,37.2,50,24.6,20,10,High heat - reduce equipment workload
5,Khammam,39.8,54,44.2,17,14,Pre-monsoon
6,Khammam,33.8,80,156.4,9,21,Monsoon - sow rice and cotton
7,Khammam,30.2,87,224.1,5,26,Heaviest rainfall month
8,Khammam,29.6,89,208.8,6,25,Flood risk low areas
9,Khammam,30.1,85,168.4,8,22,Late monsoon
10,Khammam,27.8,76,71.2,17,14,Cotton and rice harvest
11,Khammam,25.1,67,21.6,23,7,Clear skies - peak harvest
12,Khammam,22.6,68,11.8,26,5,Winter - wheat season
